iter	Logloss
0	0.6893885004
1	0.6856481114
2	0.682269539
3	0.6789046973
4	0.6757906571
5	0.6729795
6	0.6703424867
7	0.6678565735
8	0.6655591591
9	0.6632072869
10	0.6609279391
11	0.6588978596
12	0.6571229647
13	0.6552402451
14	0.6536413802
15	0.6519759035
16	0.6503943185
17	0.6489201817
18	0.6474115894
19	0.6459639565
20	0.644817965
21	0.6435886083
22	0.6424933305
23	0.641433482
24	0.6404894776
25	0.639438638
26	0.6384873154
27	0.6376548365
28	0.6367411129
29	0.6358368181
30	0.6351217108
31	0.6343727432
32	0.6335969101
33	0.633023963
34	0.6322688599
35	0.6315469538
36	0.6309105886
37	0.6302729895
38	0.6297473664
39	0.629235682
40	0.6287126375
41	0.6282547365
42	0.6277989065
43	0.6272974319
44	0.6267942476
45	0.6263704895
46	0.6258714703
47	0.6254753973
48	0.6249938618
49	0.6245735919
50	0.6241892117
51	0.6237410907
52	0.6234251152
53	0.6230394042
54	0.6226264449
55	0.6222725373
56	0.621908633
57	0.6215397521
58	0.6212200024
59	0.6208863898
60	0.6206319864
61	0.6203427962
62	0.6199304781
63	0.6196241733
64	0.6193088551
65	0.6190277053
66	0.6187245737
67	0.6184394777
68	0.6182091388
69	0.6179566213
70	0.6176227437
71	0.6173678148
72	0.6170902776
73	0.6167861525
74	0.6165436923
75	0.6162995489
76	0.6160534325
77	0.6157782456
78	0.6155037237
79	0.6152562219
80	0.6149452868
81	0.6146851753
82	0.6144981395
83	0.6142562477
84	0.6140449095
85	0.6138563777
86	0.6136421137
87	0.6134047088
88	0.6131807313
89	0.6128947981
90	0.6126644405
91	0.6124614062
92	0.6121882149
93	0.6118977792
94	0.6116974889
95	0.6115148115
96	0.611238649
97	0.6110338844
98	0.6107539814
99	0.610479066
100	0.6101771289
101	0.6099149801
102	0.6096716775
103	0.6094481913
104	0.6092216578
105	0.609016936
106	0.6088123272
107	0.6085954083
108	0.6084015549
109	0.6082482519
110	0.6080382992
111	0.6078848702
112	0.6076752003
113	0.6074136892
114	0.6071888755
115	0.6069004832
116	0.6066819213
117	0.6065175092
118	0.6063134709
119	0.6060855625
120	0.6057905871
121	0.6055560597
122	0.6053688383
123	0.6051376228
124	0.6049414035
125	0.6047855446
126	0.604550541
127	0.6043748995
128	0.6041718156
129	0.6039288817
130	0.6037131385
131	0.6034908917
132	0.6032805182
133	0.6030293698
134	0.6028817399
135	0.6026427389
136	0.6023830931
137	0.6022068103
138	0.6020028321
139	0.6018498089
140	0.6016104403
141	0.6014310664
142	0.6012049128
143	0.6010155132
144	0.6008162162
145	0.6006036375
146	0.6004029587
147	0.6001497564
148	0.5999233002
149	0.599732426
150	0.5996109945
151	0.5994212625
152	0.5992243395
153	0.5989556104
154	0.5987956213
155	0.5985725255
156	0.5983226849
157	0.598097425
158	0.5978491617
159	0.597677954
160	0.597451765
161	0.5972389211
162	0.5970092128
163	0.5968110233
164	0.5965517758
165	0.596422932
166	0.596265781
167	0.5960225866
168	0.5958655003
169	0.5957120416
170	0.5955638555
171	0.5953999637
172	0.5952165094
173	0.5950333207
174	0.5948824038
175	0.5946908918
176	0.5945410022
177	0.5942993784
178	0.5941543004
179	0.5940231656
180	0.5938014845
181	0.5936427709
182	0.5934906463
183	0.5932796156
184	0.5930470857
185	0.5929031765
186	0.5927603418
187	0.5925467658
188	0.5922989073
189	0.5921316566
190	0.5919896951
191	0.5918569493
192	0.5916998481
193	0.5915193644
194	0.5913043672
195	0.5911015791
196	0.5909922904
197	0.5907989319
198	0.5906141993
199	0.5904940109
200	0.5903495251
201	0.5901793784
202	0.5899820009
203	0.5897586257
204	0.589590748
205	0.5894366131
206	0.5892394299
207	0.589106341
208	0.5889306257
209	0.588674514
210	0.5884413119
211	0.5882501918
212	0.5880820901
213	0.5879132959
214	0.58771978
215	0.5875373501
216	0.5873014856
217	0.5871554038
218	0.5869544606
219	0.5867014017
220	0.5865228507
221	0.586351978
222	0.5861664865
223	0.58603467
224	0.5858565181
225	0.5856997369
226	0.5855186249
227	0.5853620928
228	0.585115478
229	0.5849053391
230	0.5847599237
231	0.5845057454
232	0.5843019404
233	0.5841600232
234	0.5839541388
235	0.5838135086
236	0.5836274499
237	0.5834850804
238	0.5833674738
239	0.5831670541
240	0.5829750285
241	0.5828134419
242	0.5826110438
243	0.5824742291
244	0.5822935383
245	0.5821811119
246	0.5819954429
247	0.5818175355
248	0.5816504751
249	0.581474527
250	0.5812747487
251	0.5811178413
252	0.5809406569
253	0.5808215251
254	0.5806616835
255	0.5804467587
256	0.5802593646
257	0.5800545735
258	0.5798339841
259	0.5797090776
260	0.5794985174
261	0.5793119467
262	0.579127329
263	0.5789655503
264	0.5787798777
265	0.5786669438
266	0.5784485004
267	0.5782388466
268	0.578076785
269	0.5779164727
270	0.5777123819
271	0.5774641662
272	0.5772442512
273	0.5770234399
274	0.5767164153
275	0.5764737709
276	0.5762633992
277	0.576099906
278	0.5759015091
279	0.575725342
280	0.575565227
281	0.575340681
282	0.5750902656
283	0.5749010537
284	0.5746166084
285	0.574378781
286	0.5742172204
287	0.5740667017
288	0.5738362378
289	0.5736597564
290	0.5735040128
291	0.5733033517
292	0.5731067652
293	0.5729389725
294	0.5727914623
295	0.5726661698
296	0.5724740974
297	0.5722790413
298	0.5719786463
299	0.5718229381
300	0.5716308708
301	0.5713942916
302	0.571218696
303	0.5709817418
304	0.5708194078
305	0.5705866369
306	0.5703612691
307	0.5701653802
308	0.5699379527
309	0.5697279762
310	0.5695354816
311	0.56931493
312	0.5691130285
313	0.5689534479
314	0.5687572802
315	0.5685589834
316	0.5683258909
317	0.5681468424
318	0.5679317171
319	0.5676863788
320	0.5674529226
321	0.5672772239
322	0.5670744331
