Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1011,22,22/03/2024 23:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,
1012,22,22/03/2024 23:00,Scotiabank Arena,Toronto Raptors,Oklahoma City Thunder,
1013,22,23/03/2024 00:00,Kaseya Center,Miami Heat,New Orleans Pelicans,
1014,22,23/03/2024 00:00,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,
1015,22,23/03/2024 00:00,Frost Bank Center,San Antonio Spurs,Memphis Grizzlies,
1016,22,23/03/2024 02:00,Chase Center,Golden State Warriors,Indiana Pacers,
1017,22,23/03/2024 02:00,Moda Center,Portland Trail Blazers,LA Clippers,
1018,22,23/03/2024 02:30,Crypto.com Arena,Los Angeles Lakers,Philadelphia 76ers,
1019,22,23/03/2024 17:00,Madison Square Garden,New York Knicks,Brooklyn Nets,
1020,22,23/03/2024 23:00,Kia Center,Orlando Magic,Sacramento Kings,
1021,22,23/03/2024 23:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,
1022,22,24/03/2024 00:00,Capital One Arena,Washington Wizards,Toronto Raptors,
1023,22,24/03/2024 00:00,United Center,Chicago Bulls,Boston Celtics,
1024,22,24/03/2024 00:00,Toyota Center,Houston Rockets,Utah Jazz,
1025,22,24/03/2024 00:00,Frost Bank Center,San Antonio Spurs,Phoenix Suns,
1026,22,24/03/2024 02:00,Moda Center,Portland Trail Blazers,Denver Nuggets,
1027,22,24/03/2024 19:00,Little Caesars Arena,Detroit Pistons,New Orleans Pelicans,
1028,22,24/03/2024 19:30,Crypto.com Arena,LA Clippers,Philadelphia 76ers,
1029,22,24/03/2024 22:00,Kaseya Center,Miami Heat,Cleveland Cavaliers,
1030,22,24/03/2024 23:00,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,
1031,22,24/03/2024 23:00,Target Center,Minnesota Timberwolves,Golden State Warriors,
1032,22,25/03/2024 02:00,Crypto.com Arena,Los Angeles Lakers,Indiana Pacers,
1033,23,25/03/2024 23:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,
1034,23,25/03/2024 23:30,State Farm Arena,Atlanta Hawks,Boston Celtics,
1035,23,25/03/2024 23:30,Madison Square Garden,New York Knicks,Detroit Pistons,
1036,23,25/03/2024 23:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,
1037,23,26/03/2024 00:00,United Center,Chicago Bulls,Washington Wizards,
1038,23,26/03/2024 00:00,Toyota Center,Houston Rockets,Portland Trail Blazers,
1039,23,26/03/2024 00:00,Frost Bank Center,San Antonio Spurs,Phoenix Suns,
1040,23,26/03/2024 01:00,Ball Arena,Denver Nuggets,Memphis Grizzlies,
1041,23,26/03/2024 01:00,Delta Center,Utah Jazz,Dallas Mavericks,
1042,23,26/03/2024 02:00,Golden 1 Center,Sacramento Kings,Philadelphia 76ers,
1043,23,26/03/2024 02:30,Crypto.com Arena,LA Clippers,Indiana Pacers,
1044,23,26/03/2024 23:30,Kaseya Center,Miami Heat,Golden State Warriors,
1045,23,26/03/2024 23:30,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,
1046,23,27/03/2024 00:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,
1047,23,27/03/2024 02:00,Golden 1 Center,Sacramento Kings,Dallas Mavericks,
1048,23,27/03/2024 23:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,
1049,23,27/03/2024 23:00,Kia Center,Orlando Magic,Golden State Warriors,
1050,23,27/03/2024 23:00,Capital One Arena,Washington Wizards,Brooklyn Nets,
1051,23,27/03/2024 23:30,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,
1052,23,27/03/2024 23:30,Wells Fargo Center,Philadelphia 76ers,LA Clippers,
1053,23,27/03/2024 23:30,Scotiabank Arena,Toronto Raptors,New York Knicks,
1054,23,28/03/2024 00:00,United Center,Chicago Bulls,Indiana Pacers,
1055,23,28/03/2024 00:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,
1056,23,28/03/2024 00:00,Target Center,Minnesota Timberwolves,Detroit Pistons,
1057,23,28/03/2024 00:00,Paycom Center,Oklahoma City Thunder,Houston Rockets,
1058,23,28/03/2024 01:00,Delta Center,Utah Jazz,San Antonio Spurs,
1059,23,28/03/2024 02:00,Ball Arena,Denver Nuggets,Phoenix Suns,
1060,23,28/03/2024 23:30,State Farm Arena,Atlanta Hawks,Boston Celtics,
1061,23,29/03/2024 00:00,Smoothie King Center,New Orleans Pelicans,Milwaukee Bucks,
1062,23,29/03/2024 23:00,Spectrum Center,Charlotte Hornets,Golden State Warriors,
