Match Number,Round Number,Date,Location,Home Team,Away Team,Result
43,2,30/10/2023 23:00,Capital One Arena,Washington Wizards,Boston Celtics,107 - 126
44,2,30/10/2023 23:30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,127 - 113
45,2,30/10/2023 23:30,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,91 - 99
46,2,31/10/2023 00:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,110 - 125
47,2,31/10/2023 00:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,122 - 114
48,2,31/10/2023 00:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,102 - 130
49,2,31/10/2023 00:00,Paycom Center,Oklahoma City Thunder,Detroit Pistons,124 - 112
50,2,31/10/2023 01:00,Ball Arena,Denver Nuggets,Utah Jazz,110 - 102
51,2,31/10/2023 02:30,Crypto.com Arena,Los Angeles Lakers,Orlando Magic,106 - 103
52,2,31/10/2023 23:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,91 - 109
53,2,01/11/2023 02:00,Footprint Center,Phoenix Suns,San Antonio Spurs,114 - 115
54,2,01/11/2023 02:30,Crypto.com Arena,LA Clippers,Orlando Magic,118 - 102
55,2,01/11/2023 23:00,Little Caesars Arena,Detroit Pistons,Portland Trail Blazers,101 - 110
56,2,01/11/2023 23:00,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,130 - 111
57,2,01/11/2023 23:30,State Farm Arena,Atlanta Hawks,Washington Wizards,130 - 121
58,2,01/11/2023 23:30,TD Garden,Boston Celtics,Indiana Pacers,155 - 104
59,2,01/11/2023 23:30,Kaseya Center,Miami Heat,Brooklyn Nets,105 - 109
60,2,01/11/2023 23:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,89 - 95
61,2,01/11/2023 23:30,Paycom Center,Oklahoma City Thunder,New Orleans Pelicans,106 - 110
62,2,02/11/2023 00:00,Toyota Center,Houston Rockets,Charlotte Hornets,128 - 119
63,2,02/11/2023 00:00,Target Center,Minnesota Timberwolves,Denver Nuggets,110 - 89
64,2,02/11/2023 00:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,114 - 105
65,2,02/11/2023 01:00,Delta Center,Utah Jazz,Memphis Grizzlies,133 - 109
66,2,02/11/2023 02:00,Chase Center,Golden State Warriors,Sacramento Kings,102 - 101
67,2,02/11/2023 02:00,Crypto.com Arena,Los Angeles Lakers,LA Clippers,130 - 125
68,2,02/11/2023 23:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,114 - 99
69,2,03/11/2023 00:00,Smoothie King Center,New Orleans Pelicans,Detroit Pistons,125 - 116
70,2,03/11/2023 01:00,Delta Center,Utah Jazz,Orlando Magic,113 - 115
71,2,03/11/2023 02:00,Footprint Center,Phoenix Suns,San Antonio Spurs,121 - 132
72,2,03/11/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Cleveland Cavaliers,121 - 116
73,2,03/11/2023 23:30,Fiserv Forum,Milwaukee Bucks,New York Knicks,110 - 105
74,2,04/11/2023 00:00,Kaseya Center,Miami Heat,Washington Wizards,121 - 114
75,2,04/11/2023 00:00,United Center,Chicago Bulls,Brooklyn Nets,107 - 109
76,2,04/11/2023 00:00,Paycom Center,Oklahoma City Thunder,Golden State Warriors,139 - 141
77,2,04/11/2023 02:00,Ball Arena,Denver Nuggets,Dallas Mavericks,125 - 114
78,2,04/11/2023 02:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,115 - 113
79,2,04/11/2023 17:00,Wells Fargo Center,Philadelphia 76ers,Phoenix Suns,112 - 100
80,2,04/11/2023 23:00,Gainbridge Fieldhouse,Indiana Pacers,Charlotte Hornets,124 - 125
81,2,04/11/2023 23:00,Kia Center,Orlando Magic,Los Angeles Lakers,120 - 101
82,2,04/11/2023 23:00,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,105 - 123
83,2,05/11/2023 00:00,Barclays Center,Brooklyn Nets,Boston Celtics,114 - 124
84,2,05/11/2023 00:00,Toyota Center,Houston Rockets,Sacramento Kings,107 - 89
85,2,05/11/2023 00:00,Target Center,Minnesota Timberwolves,Utah Jazz,123 - 95
86,2,05/11/2023 01:00,Ball Arena,Denver Nuggets,Chicago Bulls,123 - 101
87,2,05/11/2023 20:00,Little Caesars Arena,Detroit Pistons,Phoenix Suns,106 - 120
88,2,05/11/2023 20:30,Frost Bank Center,San Antonio Spurs,Toronto Raptors,116 - 123
89,2,05/11/2023 23:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Golden State Warriors,115 - 104
90,2,06/11/2023 00:30,American Airlines Center,Dallas Mavericks,Charlotte Hornets,124 - 118
91,2,06/11/2023 02:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,100 - 112
92,3,07/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,109 - 120
93,3,07/11/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,San Antonio Spurs,152 - 111
94,3,07/11/2023 00:00,Kia Center,Orlando Magic,Dallas Mavericks,102 - 117
95,3,07/11/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,146 - 128
96,3,07/11/2023 00:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,125 - 129
97,3,07/11/2023 00:30,Kaseya Center,Miami Heat,Los Angeles Lakers,108 - 107
98,3,07/11/2023 00:30,Madison Square Garden,New York Knicks,LA Clippers,111 - 97
99,3,07/11/2023 01:00,United Center,Chicago Bulls,Utah Jazz,130 - 113
100,3,07/11/2023 01:00,Toyota Center,Houston Rockets,Sacramento Kings,122 - 97
101,3,07/11/2023 01:00,Target Center,Minnesota Timberwolves,Boston Celtics,114 - 109
102,3,07/11/2023 01:00,Paycom Center,Oklahoma City Thunder,Atlanta Hawks,126 - 117
103,3,07/11/2023 02:00,Ball Arena,Denver Nuggets,New Orleans Pelicans,134 - 116
104,3,09/11/2023 00:00,Spectrum Center,Charlotte Hornets,Washington Wizards,116 - 132
105,3,09/11/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,Utah Jazz,134 - 118
106,3,09/11/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,106 - 103
107,3,09/11/2023 00:30,Barclays Center,Brooklyn Nets,LA Clippers,100 - 93
108,3,09/11/2023 00:30,Madison Square Garden,New York Knicks,San Antonio Spurs,126 - 105
109,3,09/11/2023 01:00,United Center,Chicago Bulls,Phoenix Suns,115 - 116
110,3,09/11/2023 01:00,Toyota Center,Houston Rockets,Los Angeles Lakers,128 - 94
111,3,09/11/2023 01:00,FedExForum,Memphis Grizzlies,Miami Heat,102 - 108
112,3,09/11/2023 01:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,120 - 118
113,3,09/11/2023 01:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,122 - 101
114,3,09/11/2023 01:00,Paycom Center,Oklahoma City Thunder,Cleveland Cavaliers,128 - 120
115,3,09/11/2023 01:30,American Airlines Center,Dallas Mavericks,Toronto Raptors,116 - 127
116,3,09/11/2023 03:00,Ball Arena,Denver Nuggets,Golden State Warriors,108 - 105
117,3,09/11/2023 03:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,121 - 118
118,3,10/11/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,126 - 124
119,3,10/11/2023 02:30,Arena CDMX,Orlando Magic,Atlanta Hawks,119 - 120
120,3,11/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,106 - 114
121,3,11/11/2023 00:00,Capital One Arena,Washington Wizards,Charlotte Hornets,117 - 124
122,3,11/11/2023 00:30,TD Garden,Boston Celtics,Brooklyn Nets,121 - 107
123,3,11/11/2023 01:00,Toyota Center,Houston Rockets,New Orleans Pelicans,104 - 101
124,3,11/11/2023 01:00,FedExForum,Memphis Grizzlies,Utah Jazz,121 - 127
125,3,11/11/2023 01:00,Frost Bank Center,San Antonio Spurs,Minnesota Timberwolves,110 - 117
126,3,11/11/2023 01:30,American Airlines Center,Dallas Mavericks,LA Clippers,144 - 126
127,3,11/11/2023 03:00,Footprint Center,Phoenix Suns,Los Angeles Lakers,119 - 122
128,3,11/11/2023 03:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,105 - 98
129,3,11/11/2023 23:00,Kia Center,Orlando Magic,Milwaukee Bucks,112 - 97
130,3,12/11/2023 00:00,TD Garden,Boston Celtics,Toronto Raptors,117 - 94
131,3,12/11/2023 00:30,State Farm Arena,Atlanta Hawks,Miami Heat,109 - 117
132,3,12/11/2023 01:30,Chase Center,Golden State Warriors,Cleveland Cavaliers,110 - 118
133,3,12/11/2023 17:00,Madison Square Garden,New York Knicks,Charlotte Hornets,129 - 107
134,3,12/11/2023 20:00,Barclays Center,Brooklyn Nets,Washington Wizards,102 - 94
135,3,12/11/2023 20:30,Crypto.com Arena,LA Clippers,Memphis Grizzlies,101 - 105
136,3,12/11/2023 23:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,137 - 126
137,3,13/11/2023 00:00,United Center,Chicago Bulls,Detroit Pistons,119 - 108
138,3,13/11/2023 00:00,Toyota Center,Houston Rockets,Denver Nuggets,107 - 104
139,3,13/11/2023 00:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,124 - 136
140,3,13/11/2023 00:00,Frost Bank Center,San Antonio Spurs,Miami Heat,113 - 118
141,3,13/11/2023 01:00,Footprint Center,Phoenix Suns,Oklahoma City Thunder,99 - 111
142,3,13/11/2023 01:30,Chase Center,Golden State Warriors,Minnesota Timberwolves,110 - 116
143,3,13/11/2023 03:00,Crypto.com Arena,Los Angeles Lakers,Portland Trail Blazers,116 - 110
144,4,14/11/2023 00:30,TD Garden,Boston Celtics,New York Knicks,114 - 98
145,4,14/11/2023 00:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,111 - 107
146,4,14/11/2023 01:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,118 - 109
147,4,14/11/2023 03:00,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,132 - 120
148,4,15/11/2023 00:00,Spectrum Center,Charlotte Hornets,Miami Heat,105 - 111
149,4,15/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,120 - 126
150,4,15/11/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,126 - 132
151,4,15/11/2023 00:30,Barclays Center,Brooklyn Nets,Orlando Magic,124 - 104
152,4,15/11/2023 00:30,Paycom Center,Oklahoma City Thunder,San Antonio Spurs,123 - 87
153,4,15/11/2023 01:00,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,131 - 110
154,4,15/11/2023 02:00,Delta Center,Utah Jazz,Portland Trail Blazers,115 - 99
155,4,15/11/2023 03:00,Ball Arena,Denver Nuggets,LA Clippers,111 - 108
156,4,15/11/2023 03:00,Chase Center,Golden State Warriors,Minnesota Timberwolves,101 - 104
157,4,15/11/2023 03:30,Crypto.com Arena,Los Angeles Lakers,Memphis Grizzlies,134 - 107
158,4,16/11/2023 00:00,Capital One Arena,Washington Wizards,Dallas Mavericks,117 - 130
159,4,16/11/2023 00:30,State Farm Arena,Atlanta Hawks,New York Knicks,114 - 116
160,4,16/11/2023 00:30,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,107 - 117
161,4,16/11/2023 00:30,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,112 - 128
162,4,16/11/2023 01:00,United Center,Chicago Bulls,Orlando Magic,94 - 96
163,4,16/11/2023 02:00,Footprint Center,Phoenix Suns,Minnesota Timberwolves,133 - 115
164,4,16/11/2023 03:00,Crypto.com Arena,Los Angeles Lakers,Sacramento Kings,110 - 125
165,4,16/11/2023 03:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,95 - 109
166,4,17/11/2023 00:30,Kaseya Center,Miami Heat,Brooklyn Nets,122 - 115
167,4,17/11/2023 03:00,Chase Center,Golden State Warriors,Oklahoma City Thunder,109 - 128
168,4,18/11/2023 00:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,99 - 130
169,4,18/11/2023 00:00,Capital One Arena,Washington Wizards,New York Knicks,99 - 120
170,4,18/11/2023 00:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,116 - 126
171,4,18/11/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,108 - 100
172,4,18/11/2023 00:30,Scotiabank Arena,Toronto Raptors,Boston Celtics,105 - 108
173,4,18/11/2023 00:30,Frost Bank Center,San Antonio Spurs,Sacramento Kings,120 - 129
174,4,18/11/2023 01:00,United Center,Chicago Bulls,Orlando Magic,97 - 103
175,4,18/11/2023 01:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,115 - 110
176,4,18/11/2023 03:00,Delta Center,Utah Jazz,Phoenix Suns,128 - 131
177,4,18/11/2023 03:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,95 - 107
178,4,18/11/2023 03:30,Crypto.com Arena,LA Clippers,Houston Rockets,106 - 100
179,4,18/11/2023 23:00,Spectrum Center,Charlotte Hornets,New York Knicks,108 - 122
180,4,19/11/2023 00:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,120 - 121
181,4,19/11/2023 01:00,United Center,Chicago Bulls,Miami Heat,102 - 97
182,4,19/11/2023 01:00,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,132 - 125
183,4,19/11/2023 01:00,Frost Bank Center,San Antonio Spurs,Memphis Grizzlies,108 - 120
184,4,19/11/2023 01:30,Chase Center,Golden State Warriors,Oklahoma City Thunder,123 - 130
185,4,19/11/2023 20:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,99 - 121
186,4,19/11/2023 21:00,Scotiabank Arena,Toronto Raptors,Detroit Pistons,142 - 113
187,4,19/11/2023 22:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,116 - 128
188,4,19/11/2023 23:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Denver Nuggets,121 - 109
189,4,20/11/2023 00:30,American Airlines Center,Dallas Mavericks,Sacramento Kings,113 - 129
190,4,20/11/2023 01:00,FedExForum,Memphis Grizzlies,Boston Celtics,100 - 102
191,4,20/11/2023 01:00,Delta Center,Utah Jazz,Phoenix Suns,137 - 140
192,4,20/11/2023 02:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,91 - 134
193,4,20/11/2023 02:30,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,105 - 104
194,5,21/11/2023 00:00,Spectrum Center,Charlotte Hornets,Boston Celtics,121 - 118
195,5,21/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Denver Nuggets,103 - 107
196,5,21/11/2023 00:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,129 - 142
197,5,21/11/2023 01:00,United Center,Chicago Bulls,Miami Heat,100 - 118
198,5,21/11/2023 01:00,Target Center,Minnesota Timberwolves,New York Knicks,117 - 100
199,5,21/11/2023 01:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,129 - 93
200,5,21/11/2023 01:00,Frost Bank Center,San Antonio Spurs,LA Clippers,99 - 124
201,5,21/11/2023 03:00,Chase Center,Golden State Warriors,Houston Rockets,121 - 116
202,5,22/11/2023 00:00,Kia Center,Orlando Magic,Toronto Raptors,126 - 107
203,5,22/11/2023 00:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,152 - 157
204,5,22/11/2023 00:30,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,119 - 122
205,5,22/11/2023 02:00,Footprint Center,Phoenix Suns,Portland Trail Blazers,120 - 107
206,5,22/11/2023 03:00,Crypto.com Arena,Los Angeles Lakers,Utah Jazz,131 - 99
207,5,23/11/2023 00:00,Spectrum Center,Charlotte Hornets,Washington Wizards,117 - 114
208,5,23/11/2023 00:00,Kia Center,Orlando Magic,Denver Nuggets,124 - 119
209,5,23/11/2023 00:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,147 - 145
210,5,23/11/2023 00:30,TD Garden,Boston Celtics,Milwaukee Bucks,119 - 116
211,5,23/11/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Miami Heat,96 - 129
212,5,23/11/2023 00:30,Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,131 - 132
213,5,23/11/2023 01:00,Toyota Center,Houston Rockets,Memphis Grizzlies,111 - 91
214,5,23/11/2023 01:00,Target Center,Minnesota Timberwolves,Philadelphia 76ers,112 - 99
215,5,23/11/2023 01:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,117 - 112
216,5,23/11/2023 01:00,Paycom Center,Oklahoma City Thunder,Chicago Bulls,116 - 102
217,5,23/11/2023 01:00,Frost Bank Center,San Antonio Spurs,LA Clippers,102 - 109
218,5,23/11/2023 03:00,Footprint Center,Phoenix Suns,Golden State Warriors,123 - 115
219,5,23/11/2023 03:00,Moda Center,Portland Trail Blazers,Utah Jazz,121 - 105
220,5,23/11/2023 03:30,Crypto.com Arena,Los Angeles Lakers,Dallas Mavericks,101 - 104
221,5,24/11/2023 19:30,Kia Center,Orlando Magic,Boston Celtics,113 - 96
222,5,24/11/2023 22:00,FedExForum,Memphis Grizzlies,Phoenix Suns,89 - 110
223,5,25/11/2023 00:30,Madison Square Garden,New York Knicks,Miami Heat,100 - 98
224,5,25/11/2023 00:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,121 - 108
225,5,25/11/2023 01:00,Gainbridge Fieldhouse,Indiana Pacers,Detroit Pistons,136 - 113
226,5,25/11/2023 01:00,Toyota Center,Houston Rockets,Denver Nuggets,105 - 86
227,5,25/11/2023 01:00,Fiserv Forum,Milwaukee Bucks,Washington Wizards,131 - 128
228,5,25/11/2023 01:00,Target Center,Minnesota Timberwolves,Sacramento Kings,111 - 124
229,5,25/11/2023 03:00,Chase Center,Golden State Warriors,San Antonio Spurs,118 - 112
230,5,25/11/2023 03:30,Crypto.com Arena,LA Clippers,New Orleans Pelicans,106 - 116
231,5,25/11/2023 22:00,Paycom Center,Oklahoma City Thunder,Philadelphia 76ers,123 - 127
232,5,25/11/2023 23:00,Barclays Center,Brooklyn Nets,Miami Heat,112 - 97
233,5,26/11/2023 00:00,Capital One Arena,Washington Wizards,Atlanta Hawks,108 - 136
234,5,26/11/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Los Angeles Lakers,115 - 121
235,5,26/11/2023 02:30,Delta Center,Utah Jazz,New Orleans Pelicans,105 - 100
236,5,26/11/2023 03:30,Crypto.com Arena,LA Clippers,Dallas Mavericks,107 - 88
237,5,26/11/2023 20:30,Fiserv Forum,Milwaukee Bucks,Portland Trail Blazers,108 - 102
238,5,26/11/2023 23:00,TD Garden,Boston Celtics,Atlanta Hawks,113 - 103
239,5,26/11/2023 23:00,Madison Square Garden,New York Knicks,Phoenix Suns,113 - 116
240,5,26/11/2023 23:00,Kia Center,Orlando Magic,Charlotte Hornets,130 - 117
241,5,26/11/2023 23:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,97 - 119
242,5,27/11/2023 00:30,Barclays Center,Brooklyn Nets,Chicago Bulls,118 - 109
243,5,27/11/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Toronto Raptors,105 - 102
244,5,27/11/2023 01:00,Ball Arena,Denver Nuggets,San Antonio Spurs,132 - 120
245,6,28/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,107 - 126
246,6,28/11/2023 00:00,Gainbridge Fieldhouse,Indiana Pacers,Portland Trail Blazers,110 - 114
247,6,28/11/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Los Angeles Lakers,138 - 94
248,6,28/11/2023 02:00,Delta Center,Utah Jazz,New Orleans Pelicans,114 - 112
249,6,28/11/2023 03:30,Crypto.com Arena,LA Clippers,Denver Nuggets,104 - 113
250,6,29/11/2023 00:30,TD Garden,Boston Celtics,Chicago Bulls,124 - 97
251,6,29/11/2023 00:30,Barclays Center,Brooklyn Nets,Toronto Raptors,115 - 103
252,6,29/11/2023 00:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,128 - 105
253,6,29/11/2023 00:30,Kaseya Center,Miami Heat,Milwaukee Bucks,124 - 131
254,6,29/11/2023 00:30,Madison Square Garden,New York Knicks,Charlotte Hornets,115 - 91
255,6,29/11/2023 01:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,106 - 103
256,6,29/11/2023 01:30,American Airlines Center,Dallas Mavericks,Houston Rockets,121 - 115
257,6,29/11/2023 03:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,124 - 123
258,6,30/11/2023 00:00,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,107 - 133
259,6,30/11/2023 00:00,Kia Center,Orlando Magic,Washington Wizards,139 - 120
260,6,30/11/2023 00:30,Scotiabank Arena,Toronto Raptors,Phoenix Suns,112 - 105
261,6,30/11/2023 01:00,FedExForum,Memphis Grizzlies,Utah Jazz,105 - 91
262,6,30/11/2023 01:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,124 - 114
263,6,30/11/2023 02:00,Ball Arena,Denver Nuggets,Houston Rockets,134 - 124
264,6,30/11/2023 03:00,Golden 1 Center,Sacramento Kings,LA Clippers,117 - 131
265,6,01/12/2023 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Portland Trail Blazers,95 - 103
266,6,01/12/2023 00:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,128 - 129
267,6,01/12/2023 00:30,Kaseya Center,Miami Heat,Indiana Pacers,142 - 132
268,6,01/12/2023 00:30,Madison Square Garden,New York Knicks,Detroit Pistons,118 - 112
269,6,01/12/2023 01:00,United Center,Chicago Bulls,Milwaukee Bucks,120 - 113
270,6,01/12/2023 01:00,Target Center,Minnesota Timberwolves,Utah Jazz,101 - 90
271,6,01/12/2023 01:00,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,133 - 110
272,6,01/12/2023 01:00,Frost Bank Center,San Antonio Spurs,Atlanta Hawks,135 - 137
273,6,01/12/2023 03:00,Chase Center,Golden State Warriors,LA Clippers,120 - 114
274,6,02/12/2023 00:00,Kia Center,Orlando Magic,Washington Wizards,130 - 125
275,6,02/12/2023 00:30,TD Garden,Boston Celtics,Philadelphia 76ers,125 - 119
276,6,02/12/2023 00:30,Scotiabank Arena,Toronto Raptors,New York Knicks,106 - 119
277,6,02/12/2023 00:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,94 - 108
278,6,02/12/2023 01:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,121 - 106
279,6,02/12/2023 03:00,Footprint Center,Phoenix Suns,Denver Nuggets,111 - 119
280,6,02/12/2023 21:00,Crypto.com Arena,LA Clippers,Golden State Warriors,113 - 112
281,6,02/12/2023 22:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,117 - 123
282,6,03/12/2023 00:00,Barclays Center,Brooklyn Nets,Orlando Magic,129 - 101
283,6,03/12/2023 00:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,101 - 110
284,6,03/12/2023 01:00,Kaseya Center,Miami Heat,Indiana Pacers,129 - 144
285,6,03/12/2023 01:00,United Center,Chicago Bulls,New Orleans Pelicans,124 - 118
286,6,03/12/2023 01:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,132 - 121
287,6,03/12/2023 02:00,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,120 - 126
288,6,03/12/2023 02:00,Footprint Center,Phoenix Suns,Memphis Grizzlies,116 - 109
289,6,03/12/2023 02:30,Delta Center,Utah Jazz,Portland Trail Blazers,118 - 113
290,6,03/12/2023 03:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,123 - 117
291,6,03/12/2023 03:30,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,107 - 97
1201,7,05/12/2023 00:30,Gainbridge Fieldhouse,Indiana Pacers,Boston Celtics,122 - 112
1202,7,05/12/2023 03:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,117 - 127
1203,7,06/12/2023 00:30,Fiserv Forum,Milwaukee Bucks,New York Knicks,146 - 122
1204,7,06/12/2023 03:00,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,106 - 103
1205,7,07/12/2023 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Orlando Magic,121 - 111
1206,7,07/12/2023 00:00,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies,102 - 116
1207,7,07/12/2023 00:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,126 - 131
1208,7,07/12/2023 00:30,Scotiabank Arena,Toronto Raptors,Miami Heat,103 - 112
1209,7,07/12/2023 00:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,113 - 114
1210,7,07/12/2023 00:30,Target Center,Minnesota Timberwolves,San Antonio Spurs,102 - 94
1211,7,07/12/2023 01:00,United Center,Chicago Bulls,Charlotte Hornets,111 - 100
1212,7,07/12/2023 01:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,110 - 101
1213,7,07/12/2023 01:30,American Airlines Center,Dallas Mavericks,Utah Jazz,147 - 97
1214,7,07/12/2023 03:00,Chase Center,Golden State Warriors,Portland Trail Blazers,110 - 106
1215,7,07/12/2023 03:00,Crypto.com Arena,LA Clippers,Denver Nuggets,111 - 102
1227,7,07/12/2023 22:00,T-Mobile Arena,Milwaukee Bucks,Indiana Pacers,119 - 128
1228,7,08/12/2023 02:00,T-Mobile Arena,Los Angeles Lakers,New Orleans Pelicans,133 - 89
1216,7,09/12/2023 00:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,119 - 116
1217,7,09/12/2023 00:00,Kia Center,Orlando Magic,Detroit Pistons,123 - 91
1218,7,09/12/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,125 - 114
1219,7,09/12/2023 00:30,Barclays Center,Brooklyn Nets,Washington Wizards,124 - 97
1229,7,09/12/2023 00:30,T-Mobile Arena,Boston Celtics,New York Knicks,133 - 123
1220,7,09/12/2023 01:00,Kaseya Center,Miami Heat,Cleveland Cavaliers,99 - 111
1221,7,09/12/2023 01:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,103 - 127
1222,7,09/12/2023 01:00,Paycom Center,Oklahoma City Thunder,Golden State Warriors,138 - 136
1223,7,09/12/2023 01:30,Frost Bank Center,San Antonio Spurs,Chicago Bulls,112 - 121
1224,7,09/12/2023 02:00,Ball Arena,Denver Nuggets,Houston Rockets,106 - 114
1230,7,09/12/2023 02:00,T-Mobile Arena,Phoenix Suns,Sacramento Kings,106 - 114
1225,7,09/12/2023 03:00,Delta Center,Utah Jazz,LA Clippers,103 - 117
1226,7,09/12/2023 03:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,112 - 125
1231,7,10/12/2023 01:30,T-Mobile Arena,Los Angeles Lakers,Indiana Pacers,123 - 109
292,8,12/12/2023 00:00,Spectrum Center,Charlotte Hornets,Miami Heat,114 - 116
293,8,12/12/2023 00:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,123 - 131
294,8,12/12/2023 00:00,Kia Center,Orlando Magic,Cleveland Cavaliers,104 - 94
295,8,12/12/2023 00:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,146 - 101
296,8,12/12/2023 00:30,State Farm Arena,Atlanta Hawks,Denver Nuggets,122 - 129
297,8,12/12/2023 00:30,Madison Square Garden,New York Knicks,Toronto Raptors,136 - 130
298,8,12/12/2023 01:00,Toyota Center,Houston Rockets,San Antonio Spurs,93 - 82
299,8,12/12/2023 01:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,113 - 120
300,8,12/12/2023 01:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,133 - 129
